|CD_CLIENTE|CD_DICTAMEN|CD_TIPOLOGIA|SEG_MOD|DES_RIE_TIP|DES_COT_BMV|DES_ID_SEC|DES_ID_SEG|DES_ID_EDO|DES_ID_BAN|DES_ID_RB|DES_EDA|DES_ANT_CTE|DES_ANT_CTA|DES_MON_DEC|EFE_NU_MES_MON0|EFE_NU_MES_MON1|EFE_NU_MES_MOND|   EFE_SD_MON0|    EFE_SD_MON1|   EFE_SD_MOND|EFE_NU_MES_MOV0|EFE_NU_MES_MOV1|   EFE_SD_MOV0|    EFE_SD_MOV1|OPI_NU_MES_MON0|OPI_NU_MES_MON1|OPI_NU_MES_MOND|   OPI_SD_MON0|  OPI_SD_MON1|  OPI_SD_MOND|OPI_NU_MES_MOV0|OPI_NU_MES_MOV1|  OPI_SD_MOV0|  OPI_SD_MOV1|OPI_NU_PAI0|OPI_NU_PAI1|OPI_SUM_RIE0|OPI_SUM_RIE1|OPI_NU_PAI_PAR0|OPI_NU_PAI_PAR1|OPI_PON_MON_PAR0|OPI_PON_MON_PAR1|MEC_NU_MES_MON0|MEC_NU_MES_MON1|     MEC_SD_MON0|    MEC_SD_MON1|MEC_SUM_RIE0|MEC_SUM_RIE1|MEC_PON_MON0|MEC_PON_MON1|TER_PON_MON0|TER_PON_MON1|BTS_NU_MES_MON1| BTS_SD_MON1|CHP_NU_MES_MON0|CHP_NU_MES_MON1| CHP_SD_MON0| CHP_SD_MON1|CHC_NU_MES_MON0|CHC_NU_MES_MON1| CHC_SD_MON0| CHC_SD_MON1|SPE_NU_MES_MON0|SPE_NU_MES_MON1| SPE_SD_MON0| SPE_SD_MON1|SPE_PON_MON0|SPE_PON_MON1|SPI_NU_MES_MON0|SPI_NU_MES_MON1| SPI_SD_MON0| SPI_SD_MON1|DES_ID_PAI_NAC|DES_ID_OCU|DES_ID_SOC|DES_GPO|DES_ACT_VUL|DES_RSK_SEG|DES_RSK_GES|DES_RSK_ALT|DES_RSK_NAC|DES_DIS_ALT_GES|DES_RSK_SEC|DES_RSK_ACT|DES_RSK_OCU|DES_RSK_SOC|DES_NU_INT|DES_NU_CAP|DES_NU_EMP|DES_NU_PRO|DES_NU_SEG|EFE_NU_MOV|EFE_NU_MES|EFE_AVG_MON|EFE_AVG_MON0|EFE_AVG_MON1|EFE_AVG_MONV|EFE_AVG_MONC|EFE_AVG_MONM|EFE_AVG_MONR|EFE_MAX_OFI|EFE_MAX_DIS|EFE_MON_USD_FN|EFE_MON_MXP_FN|EFE_MON_USD_AR|EFE_MON_MXP_AR|OPI_NU_MOV0|OPI_NU_MOV1|OPI_NU_MES0|OPI_NU_MES1|OPI_AVG_MON0|OPI_AVG_MON1|OPI_NU_CTA0|OPI_NU_CTA1|OPI_MAX_PAI0|OPI_MAX_PAI1|OPI_NU_PAI00|OPI_NU_PAI11|TER_NU_MES0|TER_NU_MES1| TER_AVG_MON0| TER_AVG_MON1|TER_NU_MOV_LI0|TER_NU_MOV_LI1|TER_SUM_MON_LI0|TER_SUM_MON_LI1|TER_NU_CTE_LI0|TER_NU_CTE_LI1|BTS_NU_MES1|BTS_AVG_MON1|CHP_NU_MES0|CHP_NU_MES1|CHP_AVG_MON_EFE|CHP_AVG_MON0|CHP_NU_MOV_LI0|CHP_SUM_MON_LI0|CHP_NU_CTE_LI0|CHC_NU_MES0|CHC_NU_MES1|CHC_AVG_MON0|CHC_AVG_MON1|CHC_AVG_MON_OTR|CHC_SUM_MON_LI0|CHC_SUM_MON_LI1|CHC_NU_CTE_LI0|CHC_NU_CTE_LI1|SPE_NU_MES0|SPE_NU_MES1| SPE_AVG_MON0| SPE_AVG_MON1|SPE_NU_CTA0|SPE_NU_CTA1|SPE_SUM_MON_LI0|SPE_SUM_MON_LI1|SPE_NU_CTE_LI0|SPE_NU_CTE_LI1|SPI_NU_MES0|SPI_NU_MES1|SPI_AVG_MON0| SPI_AVG_MON1|SPI_NU_CTA0|SPI_NU_CTA1|CCC_NU_CTE_LI|
|         1|          0|          M2|      3|     0.5005|          0|        01|        16|        01|        01|       35| 64.849|       8.37|       4.85|      10000|              0|              0|              0|             0|              0|             0|              0|              0|             0|              0|              0|              0|              0|             0|            0|            0|              0|              0|            0|            0|          1|          0|0.3010299957|           0|              0|              0|               0|               0|             10|             10|    0.1646201246|   2.5903939963|     9.84008|    40.92943|     3.54328|     7.88757|           0|           0|              0|           0|              0|              0|           0|           0|              0|              0|           0|           0|              1|              0|0.1274983411|           0|      3.1366|     3.44114|              0|              0|           0|           0|           165|       021|        00|      0|          1|    3.21411|      5.298|    4.86709|          1|              0|         10|    8.88928|    7.23761|          0|         0|         1|         0|         3|         0|         1|         1|      10000|           0|           0|           0|           0|       10000|           0|    4.58915|   44.86865|             0|             0|             0|             0|          1|          0|          1|          0|         400|           0|          1|          0|           1|           0|           0|           0|          1|          1|         3500|        10000|             0|             0|              0|              0|             0|             0|          0|           0|          0|          0|              0|           0|             0|              0|             0|          0|          0|           0|           0|              0|              0|              0|             0|             0|          1|          5|         2400|     18506.28|          1|          1|              0|              0|             0|             0|          0|          0|           0|            0|          0|          0|            0|
|         2|          0|          MD|      2|     0.4037|          0|        01|        07|        30|        01|       35| 37.937|       7.86|       1.21|     600000|              0|              3|              0|             0|   0.6281706806|  0.4521307244|              0|              1|             0|        7.26738|              0|              0|              0|             0|            0|            0|              0|              0|            0|            0|          0|          0|           0|           0|              0|              0|               0|               0|             24|             24|   43.0124834789|  33.3376161575|     62.5715|    72.95068|     8.90242|    10.40435|     0.79395|           0|              0|           0|              0|              0|           0|           0|              0|              0|           0|           0|              2|              3|0.8586246446|2.1877431493|3.9967298277| 3.246351715|              0|              0|           0|           0|           165|       063|        00|      0|          1|    7.20468|          1|          1|          1|              0|         10|    9.05266|    6.41086|          0|         0|         3|         0|         7|         0|         9|         6|          0|     9929.81|    11677.74|           0|           0|    10221.13|           0|    2.94488|  470.48888|             0|             0|             0|             0|          0|          0|          0|          0|           0|           0|          0|          0|           0|           0|           0|           0|          6|          7|      16731.4|     59286.43|             5|             0|          26041|              0|             1|             0|          0|           0|          0|          1|              0|   412096.79|             0|              0|             0|          0|          0|           0|           0|              0|              0|              0|             0|             0|          6|          6|      7831.27|     21166.84|         15|          9|              0|        7909.66|             0|             2|          0|          0|           0|            0|          0|          0|            6|
|         3|          0|          MP|      4|     0.8549|          0|        02|        09|        32|        01|       34| 23.225|      8.359|       1.41|   20000000|              5|              4|  10.8063368421| 10.8063368421|         5.7864| 18.8268666667|              2|              4|      16.65969|  30.3550133333|              0|              0|              0|             0|            0|            0|              0|              0|            0|            0|          0|          0|           0|           0|              0|              0|               0|               0|              9|              9|    4.6603474599|   10.663678802|    39.95708|    58.77593|    12.66778|    11.74635|           0|     7.21398|              0|           0|              1|              0|0.8955615759|           0|              0|              0|           0|           0|              1|              0|0.6037014817|           0|     4.12829|4.2958278255|              0|              0|           0|           0|           165|       007|        00|      0|          1|         10|          1|          1|          1|              0|     7.6294|    6.53566|    8.06139|          0|         1|         3|         0|        10|         0|        38|        11|     424963|    78924.44|           0|           0|           0|   118574.55|   467617.33|    2.16765|  617.34772|             0|             0|             0|             0|          0|          0|          0|          0|           0|           0|          0|          0|           0|           0|           0|           0|          4|          2|       148795|      1917800|             0|             4|              0|        3826100|             0|             2|          0|           0|          1|          2|        1815004|      300000|             0|              0|             0|          0|          0|           0|           0|              0|              0|              0|             0|             0|          1|          2|      1531340|   1009340.14|          2|          4|              0|              0|             0|             0|          0|          0|           0|            0|          0|          0|           18|
|         4|          0|          MP|      4|     0.8549|          0|        01|        07|        21|        01|       35| 50.523|      8.359|        1.1|     600000|              1|              1|   0.6212121212|  0.6212121212|              1|  0.6613924051|              1|              0|      3.923975|              0|              0|              0|              0|             0|            0|            0|              0|              0|            0|            0|          0|          0|           0|           0|              0|              0|               0|               0|              0|              0|               0|              0|           0|     1.69791|           0|     5.57055|           0|           0|              0|           0|              0|              0|           0|           0|              0|              0|           0|           0|              0|              0|           0|           0|           0|           0|              0|              0|           0|           0|           165|       165|        00|      0|          1|    7.20468|          1|          1|          1|              0|         10|    9.05266|      3.639|          0|         0|         1|         0|         3|         0|         6|         2|      66000|      550000|           0|           0|           0|       78500|      525000|          1|          0|             0|             0|             0|             0|          0|          0|          0|          0|           0|           0|          0|          0|           0|           0|           0|           0|          1|          0|       410000|            0|             0|             0|              0|              0|             0|             0|          0|           0|          0|          0|              0|           0|             0|              0|             0|          0|          0|           0|           0|              0|              0|              0|             0|             0|          0|          0|            0|            0|          0|          0|              0|              0|             0|             0|          0|          0|           0|            0|          0|          0|            0|
|         5|          0|          MD|      2|     0.4037|          0|        03|        09|        03|        01|       35| 55.052|      7.688|       5.13|      15000|              0|              1|              0|             0|   0.3039663581|  0.3039663581|              0|              1|             0|   2.3685533333|              0|              0|              0|             0|            0|            0|              0|              0|            0|            0|          0|          0|           0|           0|              0|              0|               0|               0|              2|              2|    0.3039663581|   2.3333333333|     2.16953|     11.0848|     5.47031|     6.98535|           0|           0|              0|           0|              0|              0|           0|           0|              0|              0|           0|           0|              0|              0|           0|           0|           0|           0|              0|              0|           0|           0|           165|       010|        00|      0|          1|         10|          1|          1|          1|              0|     2.2148|     7.7853|    3.83615|          0|         0|         1|         0|         2|         0|         3|         2|          0|           0|           0|    27609.59|           0|    27609.59|           0|          1|          0|      27609.59|             0|      27609.59|             0|          0|          0|          0|          0|           0|           0|          0|          0|           0|           0|           0|           0|          0|          0|            0|            0|             0|             0|              0|              0|             0|             0|          0|           0|          0|          0|              0|           0|             0|              0|             0|          0|          0|           0|           0|              0|              0|              0|             0|             0|          0|          0|            0|            0|          0|          0|              0|              0|             0|             0|          0|          0|           0|            0|          0|          0|            0|
|         6|          0|          MP|      4|     0.8549|          0|        01|        09|        28|        01|       35| 68.792|      8.348|       1.94|      25000|              0|              4|              0|             0|   8.6428571429| 43.7857142857|              0|              2|             0|       10.68082|              0|              0|              0|             0|            0|            0|              0|              0|            0|            0|          0|          0|           0|           0|              0|              0|               0|               0|             13|             13|    1.7631578947|   5.3891272169|    34.03181|    28.02267|    10.32902|     9.53391|           0|           0|              0|           0|              0|              0|           0|           0|              0|              0|           0|           0|              0|              0|           0|           0|           0|     2.49394|              0|              0|           0|           0|           165|       085|        00|      0|          1|         10|          1|          1|          1|              0|         10|    1.11632|    6.38822|          0|         0|         1|         0|         6|         0|        16|         9|      95250|    13722.22|           0|           0|           0|    21611.11|      310000|      3.216| 1061.33507|             0|         50000|             0|             0|          0|          0|          0|          0|           0|           0|          0|          0|           0|           0|           0|           0|          0|          2|            0|         9500|             0|             0|              0|              0|             0|             0|          0|           0|          0|          0|              0|           0|             0|              0|             0|          0|          0|           0|           0|              0|              0|              0|             0|             0|          0|          1|            0|       310000|          0|          1|              0|              0|             0|             0|          0|          0|           0|            0|          0|          0|            0|
|         7|          0|          DP|      1|     0.0662|          0|        20|        04|        17|        01|       35|  8.392|      8.258|       5.04|     200000|              6|              6|   2.1843561225|  2.1843561225|  18.6573737374|  2.5497418887|              6|              3|    21.9667875|   9.7630166667|              0|              0|              0|             0|            0|            0|              0|              0|            0|            0|          0|          0|           0|           0|              0|              0|               0|               0|             28|             28|   13.9441416303|   6.1392412482|    50.04286|    62.43642|    11.93359|    13.29439|     0.09076|     0.02475|              0|           0|              1|              0|0.3842177694|           0|              0|              0|           0|           0|              4|              3|1.6723814897|0.9308204784|3.1343277839|3.2461076618|              0|              0|           0|           0|           000|       000|        60|      0|          1|     8.8331|          0|          1|          0|              0|     8.8699|    5.85688|          0|    3.94122|         0|         1|         5|         7|         0|        73|        13|   34827.03|     7257.37|           0|           0|           0|    38734.84|           0|    1.40889|          0|             0|             0|             0|             0|          0|          0|          0|          0|           0|           0|          0|          0|           0|           0|           0|           0|          7|          7|    219640.65|     33010.72|             6|             1|       43409.17|           2436|             1|             1|          0|           0|          6|          1|       59028.86|    13688.09|             0|              0|             0|          0|          0|           0|           0|              0|              0|              0|             0|             0|          6|          7|     39596.35|    285760.13|         14|         34|              0|        3936.88|             0|             1|          0|          0|           0|            0|          0|          0|           14|
|         8|          1|          MP|      4|     0.8549|          0|        01|        07|        25|        01|       34| 46.811|      8.332|       2.25|     200000|              4|              0|   1.4916864608|  1.4916864608|              0|  2.5817409766|              2|              0|       3.81937|              0|              0|              0|              0|             0|            0|            0|              0|              0|            0|            0|          0|          0|           0|           0|              0|              0|               0|               0|              7|              7|    0.7177086368|   3.6792490862|    20.90596|     21.8284|    13.81708|     9.71325|           0|           0|              0|           0|              0|              0|           0|           0|              0|              0|           0|           0|              0|              0|           0|           0|           0|           0|              0|              0|           0|           0|           165|       009|        00|      0|          1|    7.20468|    4.74412|    4.74412|          1|              0|         10|    4.51379|    4.98738|          0|         0|         1|         0|         8|         0|        35|         8|     445250|     1500000|           0|           0|           0|      317750|      504000|    4.74412| 2191.98416|             0|        100000|             0|     313142.86|          0|          0|          0|          0|           0|           0|          0|          0|           0|           0|           0|           0|          3|          2|    153333.33|    761907.83|             0|             0|              0|              0|             0|             0|          0|           0|          0|          0|              0|           0|             0|              0|             0|          0|          0|           0|           0|              0|              0|              0|             0|             0|          0|          0|            0|            0|          0|          0|              0|              0|             0|             0|          0|          0|           0|            0|          0|          0|            0|
|         9|          0|          MP|      4|     0.8549|          0|        02|        01|        25|        01|       35| 32.682|      7.904|        1.4|    2500000|              0|              5|              0|             0|   3.8495165049|  3.8495165049|              0|              5|             0|  51.2886828571|              0|              0|              0|             0|            0|            0|              0|              0|            0|            0|          0|          0|           0|           0|              0|              0|               0|               0|              8|              8|    1.9266050727|   9.9231163565|     22.8718|    27.36117|    11.90679|    12.22669|     4.04893|           0|              0|           0|              0|              0|           0|           0|              0|              0|           0|           0|              0|              1|           0|2.3326721037|3.9551556245|      3.2567|              0|              0|           0|           0|           165|       044|        00|      0|          1|    7.58566|          0|          1|          1|              0|     7.6294|    3.18723|    7.02334|          0|         0|         1|         9|         3|         0|       205|        11|          0|   210364.42|           0|           0|           0|   210364.42|           0|    7.18672|          0|             0|             0|             0|             0|          0|          0|          0|          0|           0|           0|          0|          0|           0|           0|           0|           0|          4|          2|     85085.39|        94000|             5|             0|      188436.46|              0|             3|             0|          0|           0|          0|          0|              0|           0|             0|              0|             0|          0|          0|           0|           0|              0|              0|              0|             0|             0|          5|          1|     21172.67|         7000|          6|          1|              0|              0|             0|             0|          0|          0|           0|            0|          0|          0|           17|
|        10|          0|          MP|      4|     0.8549|          0|        01|        07|        31|        01|       34| 37.608|      8.323|       4.15|     300000|              6|              0|   1.6119402985|  1.6119402985|              0|  1.6119402985|              6|              0|       4.89278|              0|              0|              0|              0|             0|            0|            0|              0|              0|            0|            0|          0|          1|           0|1.3239846644|              0|              0|               0|               0|             11|             11|    0.4940371684|   8.0231244901|     8.73478|    36.92828|    10.37006|    11.95518|           0|           0|              0|           0|              0|              0|           0|           0|              0|              0|           0|           0|              0|              1|           0|0.6681499672|3.9637438205|           0|              0|              0|           0|           0|           165|       090|        00|      0|          1|    7.20468|          1|          1|          1|              0|         10|    4.46929|    2.30597|          0|         0|         1|         0|         2|         0|        90|        12|  361083.33|           0|           0|           0|           0|   348583.33|      150000|      3.216|   23.42087|             0|             0|             0|             0|          0|         14|          0|         14|           0|       44997|          0|          5|           0|           7|           0|           0|          4|          0|       163741|            0|             0|             0|              0|              0|             0|             0|          0|           0|          0|          0|              0|           0|             0|              0|             0|          0|          0|           0|           0|              0|              0|              0|             0|             0|          2|          0|     14464.37|            0|          2|          0|              0|              0|             0|             0|          0|          0|           0|            0|          0|          0|            0|
