,date,dollar_change,month,month_number
0,31/enero/2017,0.312,enero,01
1,30/enero/2017,0.3101,enero,01
2,29/enero/2017,0.3042,enero,01
3,28/enero/2017,0.3042,enero,01
4,27/enero/2017,0.3092,enero,01
5,26/enero/2017,0.3038,enero,01
6,25/enero/2017,0.3048,enero,01
7,24/enero/2017,0.3116,enero,01
8,23/enero/2017,0.3104,enero,01
9,22/enero/2017,0.3035,enero,01
10,21/enero/2017,0.3035,enero,01
11,20/enero/2017,0.3018,enero,01
12,19/enero/2017,0.3047,enero,01
13,18/enero/2017,0.3035,enero,01
14,17/enero/2017,0.3046,enero,01
15,16/enero/2017,0.2975,enero,01
16,15/enero/2017,0.2977,enero,01
17,13/enero/2017,0.3016,enero,01
18,12/enero/2017,0.3037,enero,01
19,11/enero/2017,0.3016,enero,01
20,10/enero/2017,0.3047,enero,01
21,9/enero/2017,0.2962,enero,01
22,8/enero/2017,0.2962,enero,01
23,6/enero/2017,0.3053,enero,01
24,5/enero/2017,0.3031,enero,01
25,4/enero/2017,0.3053,enero,01
26,3/enero/2017,0.3046,enero,01
27,2/enero/2017,0.3036,enero,01
28,1/enero/2017,0.2981,enero,01
29,31/enero/2018,0.3109,enero,01
30,30/enero/2018,0.3109,enero,01
31,29/enero/2018,0.3114,enero,01
32,26/enero/2018,0.3116,enero,01
33,25/enero/2018,0.3115,enero,01
34,24/enero/2018,0.3108,enero,01
35,23/enero/2018,0.3113,enero,01
36,22/enero/2018,0.3163,enero,01
37,21/enero/2018,0.3114,enero,01
38,19/enero/2018,0.3181,enero,01
39,18/enero/2018,0.3175,enero,01
40,17/enero/2018,0.3192,enero,01
41,16/enero/2018,0.3176,enero,01
42,15/enero/2018,0.3193,enero,01
43,14/enero/2018,0.3113,enero,01
44,12/enero/2018,0.3195,enero,01
45,11/enero/2018,0.3104,enero,01
46,10/enero/2018,0.3179,enero,01
47,9/enero/2018,0.3111,enero,01
48,8/enero/2018,0.3116,enero,01
49,7/enero/2018,0.3117,enero,01
50,6/enero/2018,0.3117,enero,01
51,5/enero/2018,0.3174,enero,01
52,4/enero/2018,0.3159,enero,01
53,3/enero/2018,0.3153,enero,01
54,2/enero/2018,0.316,enero,01
55,1/enero/2018,0.3157,enero,01
56,31/enero/2019,0.2987,enero,01
57,30/enero/2019,0.2977,enero,01
58,29/enero/2019,0.2982,enero,01
